,fullName,country,politicalGroup,id,nationalPoliticalGroup
91,Annika BRUNA,France,Identity and Democracy Group,182995,Rassemblement national
92,Sylvie BRUNET,France,Renew Europe Group,197576,Mouvement Démocrate
93,Markus BUCHHEIT,Germany,Identity and Democracy Group,128483,Alternative für Deutschland
94,Daniel BUDA,Romania,Group of the European People's Party (Christian Democrats),125012,Partidul Naţional Liberal
95,Udo BULLMANN,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,4267,Sozialdemokratische Partei Deutschlands
96,Delara BURKHARDT,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197440,Sozialdemokratische Partei Deutschlands
97,Martin BUSCHMANN,Germany,Non-attached Members,197434,Independent
98,Cristian-Silviu BUŞOI,Romania,Group of the European People's Party (Christian Democrats),38420,Partidul Naţional Liberal
99,Reinhard BÜTIKOFER,Germany,Group of the Greens/European Free Alliance,96739,Bündnis 90/Die Grünen
100,Jorge BUXADÉ VILLALBA,Spain,European Conservatives and Reformists Group,197829,VOX
101,Jerzy BUZEK,Poland,Group of the European People's Party (Christian Democrats),28269,Platforma Obywatelska
102,Marco CAMPOMENOSI,Italy,Identity and Democracy Group,35016,Lega
103,Jordi CAÑAS,Spain,Renew Europe Group,126644,Ciudadanos – Partido de la Ciudadanía
104,Pascal CANFIN,France,Renew Europe Group,96711,Liste Renaissance
105,Damien CARÊME,France,Group of the Greens/European Free Alliance,197574,Europe Écologie
106,Isabel CARVALHAIS,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,199996,Partido Socialista
107,Maria da Graça CARVALHO,Portugal,Group of the European People's Party (Christian Democrats),96867,Partido Social Democrata
108,David CASA,Malta,Group of the European People's Party (Christian Democrats),28122,Partit Nazzjonalista
109,Massimo CASANOVA,Italy,Identity and Democracy Group,197796,Lega
110,Daniel CASPARY,Germany,Group of the European People's Party (Christian Democrats),28219,Christlich Demokratische Union Deutschlands
111,Fabio Massimo CASTALDO,Italy,Non-attached Members,124812,Movimento 5 Stelle
112,Pilar del CASTILLO VERA,Spain,Group of the European People's Party (Christian Democrats),28390,Partido Popular
